user_id,has_children,group_age,avg_scaled_room_price,f_discount_per,f_discount_ratio,packages_per_session,flights_ratio,cancellations_ratio,hotels_ratio,avg_scaled_session_in_seconds,return_ratio,avg_scaled_distance_km,avg_scaled_nights,scaled_bags_per_flight,scaled_price_per_km,scaled_clicks_per_session,free_hotel_meal,free_checked_bag,no_cancellation_fee,exclusive_discounts,1_night_free_hotel_with_flight,free_hotel_meal_ranking,free_checked_bag_ranking,no_cancellation_fee_ranking,exclusive_discounts_ranking,1_night_free_hotel_with_flight_ranking,segmentation
23557,False,55+,0.3561759729272419,0.15,0.17,0.17,0.25,0.08,0.33,0.1997755331088664,1.0,0.2448619897397161,0.0,0.1763668430335097,0.0485440805327865,0.2120418848167539,0.375,0.3508429643319405,0.15020508903920612,0.2894962556657752,0.24606892407947642,3768,4662,435,2786,2258,Free checked bag
94883,False,41-55,0.1852791878172588,0.1,0.08,0.17,0.25,0.0,0.17,0.127914951989026,1.0,0.1353507695212916,0.0,0.1763668430335097,0.0889093219446255,0.0575916230366492,0.25,0.28793373894636454,0.0858302376537725,0.19388782107469713,0.1774752431437523,2847,3470,35,1011,1357,Free checked bag
101486,True,41-55,0.3482233502538071,0.075,0.38,0.31,0.31,0.08,0.38,0.2174738841405508,1.0,0.2250495703899537,0.0,0.3086419753086419,0.1934813793438667,0.1858638743455497,0.625,0.41106552896063464,0.14787588654273465,0.2843280803531973,0.3285562943829873,4520,5255,414,2546,3678,Free checked bag
101961,False,41-55,0.3382886149383611,0.1333333333333333,0.25,0.5,0.5,0.0,0.58,0.2786351165980795,1.0,0.1688855317407862,0.0,0.0881834215167548,0.0505581543104511,0.2722513089005235,0.25,0.24603286864216053,0.2754247178440547,0.31631202663414554,0.41127157386474034,2849,2411,3245,3460,4984,1 night free hotel with flight
106907,True,41-55,0.3813451776649746,0.15,0.14,0.21,0.21,0.07,0.29,0.2640603566529493,0.67,0.195165706732131,0.0,0.6472663139329805,0.0189686359591586,0.1989528795811518,0.625,0.4390565281507097,0.1543537404895494,0.2741368357892458,0.2829884932460058,4521,5419,485,2403,2865,Free checked bag
118043,True,41-55,0.3544839255499153,0.1666666666666666,0.31,0.23,0.38,0.08,0.38,0.2349108367626886,1.0,0.1546973845718062,0.0,0.1058201058201058,0.0886423594965811,0.2015706806282722,0.625,0.25391228916830005,0.155885887678389,0.36110466095710475,0.285536867806034,4523,2596,508,4248,2904,Free hotel meal
120851,True,41-55,0.3883248730964467,0.175,0.38,0.31,0.38,0.08,0.31,0.1528964862298195,1.0,0.1388915116608441,0.0,0.1058201058201058,0.0516438454476463,0.094240837696335,0.625,0.2449521742629907,0.10485171617418387,0.3980439592652136,0.3469592348675828,4526,2384,97,4742,3997,Exclusive discounts
125845,False,26-40,0.4826565143824027,0.15,0.23,0.46,0.46,0.08,0.46,0.2503956948401393,1.0,0.26890756302521,0.0,0.1181657848324514,0.0563810863967385,0.2329842931937172,0.125,0.31673660225397005,0.16711463937686546,0.3193046506681504,0.4711921016060278,1394,4085,675,3477,5575,1 night free hotel with flight
133058,False,17-25,0.4771573604060913,0.15,0.08,0.0,0.08,0.0,0.08,0.134377967711301,1.0,0.2708903786233594,0.0,0.0,0.040537646795196,0.0523560209424083,0.0,0.5204713043226873,0.08387786174963655,0.22580647697429862,0.4771573604060913,446,5717,30,1313,5615,Free checked bag
149058,True,41-55,0.3799854967367657,0.05,0.17,0.58,0.58,0.08,0.58,0.2433595211372989,1.0,0.209598446120021,0.2857142857142857,0.1005291005291005,0.0744140795684924,0.2120418848167539,0.4225771273642583,0.2762018724596301,0.16041808527580906,0.19888951488987355,0.46945882471983,4040,3182,566,1046,5556,1 night free hotel with flight
152583,False,26-40,0.4974619289340101,0.15,0.2,0.2,0.3,0.1,0.2,0.2976680384087791,1.0,0.2122556887923708,0.0,0.2345679012345679,0.0455459027210228,0.4057591623036649,0.125,0.3678826506471006,0.22943879173872517,0.3059323718802888,0.31542413634153305,1392,4865,2033,3096,3434,Free checked bag
153982,True,41-55,0.448730964467005,,0.09,0.55,0.55,0.09,0.55,0.2485596707818929,1.0,0.1102351052780662,0.0,0.146384479717813,0.2167316129914616,0.1989528795811518,0.625,0.2526998504464727,0.16449061888504682,0.265507353628423,0.4967917375086393,4528,2565,629,2323,5726,1 night free hotel with flight
