"user_id","has_children","group_age","avg_scaled_room_price","f_discount_per","f_discount_ratio","packages_per_session","flights_ratio","cancellations_ratio","hotels_ratio","avg_scaled_session_in_seconds","return_ratio","avg_scaled_distance_km","avg_scaled_nights","scaled_bags_per_flight","scaled_price_per_km","scaled_clicks_per_session"
"23557","false","55+","0.35617597292724196277","0.15000000000000000000","0.17","0.17","0.25","0.08","0.33","0.19977553310886645","1.00","0.24486198973971611117","0.00000000000000000000","0.17636684303350970018","0.04854408053278656229","0.21204188481675392670"
"94883","false","41-55","0.18527918781725888325","0.10000000000000000000","0.08","0.17","0.25","0.00","0.17","0.12791495198902608","1.00","0.13535076952129166274","0.00000000000000000000","0.17636684303350970018","0.08890932194462553463","0.05759162303664921466"
"101486","true","41-55","0.34822335025380710660","0.07500000000000000000","0.38","0.31","0.31","0.08","0.38","0.21747388414055083","1.00","0.22504957038995373431","0.00000000000000000000","0.30864197530864197531","0.19348137934386676469","0.18586387434554973822"
"101961","false","41-55","0.33828861493836113126","0.13333333333333333333","0.25","0.50","0.50","0.00","0.58","0.27863511659807955","1.00","0.16888553174078620212","0.00000000000000000000","0.08818342151675485009","0.05055815431045117249","0.27225130890052356021"
"106907","true","41-55","0.38134517766497461929","0.15000000000000000000","0.14","0.21","0.21","0.07","0.29","0.2640603566529493","0.67","0.19516570673213105467","0.00000000000000000000","0.64726631393298059965","0.01896863595915866255","0.19895287958115183246"
"118043","true","41-55","0.35448392554991539763","0.16666666666666666667","0.31","0.23","0.38","0.08","0.38","0.23491083676268862","1.00","0.15469738457180625059","0.00000000000000000000","0.10582010582010582011","0.08864235949658117904","0.20157068062827225131"
"120851","true","41-55","0.38832487309644670051","0.17500000000000000000","0.38","0.31","0.38","0.08","0.31","0.15289648622981958","1.00","0.13889151166084411293","0.00000000000000000000","0.10582010582010582011","0.05164384544764632682","0.09424083769633507853"
"125845","false","26-40","0.48265651438240270728","0.15000000000000000000","0.23","0.46","0.46","0.08","0.46","0.2503956948401393","1.00","0.26890756302521008403","0.00000000000000000000","0.11816578483245149912","0.05638108639673851455","0.23298429319371727749"
"133058","false","17-25","0.47715736040609137056","0.15000000000000000000","0.08","0.00","0.08","0.00","0.08","0.13437796771130103","1.00","0.27089037862335945614","0.00000000000000000000","0.00000000000000000000","0.04053764679519604377","0.05235602094240837696"
"149058","true","41-55","0.37998549673676577230","0.05000000000000000000","0.17","0.58","0.58","0.08","0.58","0.24335952113729895","1.00","0.20959844612002104212","0.28571428571428571429","0.10052910052910052910","0.07441407956849241173","0.21204188481675392670"
"152583","false","26-40","0.49746192893401015228","0.15000000000000000000","0.20","0.20","0.30","0.10","0.20","0.29766803840877915","1.00","0.21225568879237088094","0.00000000000000000000","0.23456790123456790123","0.04554590272102286524","0.40575916230366492147"
"153982","true","41-55","0.44873096446700507614","","0.09","0.55","0.55","0.09","0.55","0.24855967078189298","1.00","0.11023510527806628269","0.00000000000000000000","0.14638447971781305115","0.21673161299146160507","0.19895287958115183246"
"160754","true","41-55","0.50000000000000000000","","0.10","0.20","0.30","0.10","0.20","0.14588477366255143","1.00","0.43628237811978724074","0.00000000000000000000","0.64726631393298059965","0.00000000000000000000","0.14921465968586387435"
"164522","false","41-55","0.54822335025380710660","0.05000000000000000000","0.30","0.20","0.30","0.10","0.20","0.21056241426611796","1.00","0.16901142479463695591","1.00000000000000000000","0.17636684303350970018","0.05171956299492304093","0.24083769633507853403"
"167852","false","17-25","","0.10000000000000000000","0.23","0.00","0.00","0.00","0.00","0.1627097182652738","","","","","","0.09162303664921465969"
"171470","false","17-25","","0.10000000000000000000","0.33","0.22","0.44","0.22","0.22","0.09465020576131686","1.00","","","0.08818342151675485009","","0.10994764397905759162"
"174997","false","26-40","0.24111675126903553300","","0.11","0.33","0.44","0.11","0.33","0.19295839048925467","1.00","0.48345293173449154943","0.00000000000000000000","0.08818342151675485009","0.08493078953480133168","0.28534031413612565445"
"175032","false","26-40","0.32677664974619289340","0.30000000000000000000","0.07","0.21","0.21","0.00","0.29","0.1895943562610229","0.67","0.16133194850974097504","0.00000000000000000000","0.11816578483245149912","0.07602938513888427342","0.10994764397905759162"
"181157","false","41-55","0.31065989847715736040","0.17500000000000000000","0.30","0.50","0.50","0.10","0.50","0.27016460905349793","1.00","0.11286312277720076795","0.00000000000000000000","0.17636684303350970018","0.08503336967808283271","0.39528795811518324607"
"182191","true","17-25","","","0.11","0.11","0.22","0.11","0.11","0.154320987654321","1.00","0.15607591351147200453","","0.17636684303350970018","0.09663401339278785870","0.17277486910994764398"
"187212","true","41-55","0.17385786802030456853","0.22499999999999995000","0.17","0.25","0.25","0.00","0.25","0.23765432098765435","1.00","0.23110817360652126019","0.00000000000000000000","0.11816578483245149912","0.04735855165498275450","0.21727748691099476440"
"189676","true","26-40","0.41497461928934010153","0.17500000000000000000","0.30","0.20","0.30","0.10","0.30","0.17119341563786009","1.00","0.09822805526705064048","0.50000000000000000000","0.11816578483245149912","0.13379085779968676315","0.20157068062827225131"
"190866","false","26-40","0.29473350253807106599","","0.08","0.67","0.67","0.08","0.67","0.31189986282578874","1.00","0.24703364491864161395","0.00000000000000000000","0.04409171075837742504","0.11080355065289437075","0.36125654450261780105"
"195192","false","26-40","0.46531302876480541455","0.10000000000000000000","0.08","0.31","0.31","0.00","0.31","0.27057613168724276","1.00","0.11696251534321593806","0.00000000000000000000","0.04409171075837742504","0.07667597302516694814","0.23560209424083769634"
"204943","false","41-55","0.39904117315284827975","0.15000000000000000000","0.27","0.82","0.91","0.09","0.82","0.3146277590722035","1.00","0.17945425361155698234","0.00000000000000000000","0.17636684303350970018","0.06912283270266631355","0.41623036649214659686"
"204997","false","26-40","0.45482233502538071066","0.25000000000000000000","0.33","0.56","0.67","0.22","0.56","0.24162257495590828","1.00","0.11870928146539514683","0.00000000000000000000","0.14638447971781305115","0.08492986177126128397","0.51308900523560209424"
"205044","true","26-40","0.44585448392554991540","0.05000000000000000000","0.17","0.50","0.50","0.08","0.50","0.2123082678638234","1.00","0.26808925817518018443","0.00000000000000000000","0.26455026455026455026","0.08555452606148680214","0.21204188481675392670"
"206011","true","26-40","0.21065989847715736041","0.05000000000000000000","0.17","0.42","0.50","0.08","0.42","0.2626886145404664","1.00","0.13409183898278412488","0.00000000000000000000","0.08818342151675485009","0.07064822705190576213","0.28272251308900523560"
"216796","false","17-25","0.49873096446700507614","0.16666666666666666667","0.50","0.40","0.40","0.20","0.40","0.18621399176954734","1.00","0.47743367009725238410","0.50000000000000000000","0.17636684303350970018","0.08878534125255760727","0.41361256544502617801"
"217114","true","17-25","","0.05000000000000000000","0.18","0.09","0.18","0.09","0.09","0.12757201646090535","1.00","","","0.17636684303350970018","","0.09424083769633507853"
"217136","true","26-40","0.55710659898477157361","0.17500000000000000000","0.30","0.20","0.30","0.10","0.30","0.1897119341563786","1.00","0.29052969502407704655","0.00000000000000000000","0.23456790123456790123","0.04939428911770740181","0.23560209424083769634"
"220725","false","26-40","0.27411167512690355330","0.15000000000000000000","0.23","0.38","0.54","0.15","0.38","0.1428326474622771","1.00","0.28379891282355638885","0.00000000000000000000","0.02469135802469135802","0.04791265979255397478","0.10471204188481675393"
"224996","true","41-55","0.54314720812182741117","","0.10","0.20","0.40","0.10","0.20","0.17860082304526748","1.00","0.23326409215371541876","0.00000000000000000000","0.08818342151675485009","0.05132246514575107458","0.21727748691099476440"
"226367","false","41-55","0.59898477157360406091","0.05000000000000000000","0.11","0.33","0.44","0.00","0.33","0.2112482853223594","1.00","0.33500141629685582098","0.00000000000000000000","0.17636684303350970018","0.02016607005527501654","0.28010471204188481675"
"228195","true","26-40","","0.20000000000000000000","0.18","0.09","0.18","0.09","0.09","0.192798353909465","1.00","0.16372391653290529695","","0.35273368606701940035","0.11027520631582936094","0.17801047120418848168"
"228872","false","26-40","0.17956852791878172589","0.32500000000000000000","0.18","0.27","0.27","0.00","0.36","0.26069958847736624","1.00","0.14594152267648632487","0.00000000000000000000","0.17636684303350970018","0.06043030162490992781","0.28010471204188481675"
"229009","false","17-25","0.33629441624365482234","0.30000000000000000000","0.30","0.40","0.60","0.20","0.40","0.28729423868312753","1.00","0.24695496175998489283","0.00000000000000000000","0.02998236331569664903","0.10207892351278942176","0.36910994764397905759"
"229108","false","17-25","","0.20000000000000000000","0.33","0.11","0.33","0.11","0.11","0.22085048010973937","1.00","0.19400119598401158216","","0.00000000000000000000","0.04899063587528677599","0.35078534031413612565"
"229330","false","41-55","0.40355329949238578680","","0.00","0.45","0.45","0.00","0.45","0.22035166479610924","1.00","0.14410348409026531961","0.00000000000000000000","0.03527336860670194004","0.08045099647093644103","0.21989528795811518325"
"232647","false","17-25","0.55160744500846023689","0.17500000000000000000","0.30","0.20","0.30","0.10","0.30","0.20004572473708274","1.00","0.13398168256066471532","0.00000000000000000000","0.17636684303350970018","0.34274923437113883257","0.20942408376963350785"
